id,opened,opened_ms,kind,coin,round,side,price,qty,stake,fee,fair,t_left,settled,settled_ms,winner,payout,pnl,pnl_pct,result,resolved_by
194,2026-09-24 03:31:05,1790213465739,fair,btc,1790213400,Up,0.4,4.53,1.8881,0.0761,0.4586,835,2026-09-24 03:51:01,1790214661080,Down,0.0,-1.8881,-100.0,lost,polymarket
196,2026-09-24 03:42:45,1790214165812,diparb_leg1,btc,1790213400,Up,0.11,20.0,2.33706,0.13706,,135,2026-09-24 03:51:01,1790214661080,Down,0.0,-2.3371,-100.0,lost,polymarket
195,2026-09-24 03:37:45,1790213865787,fair,eth,1790213400,Up,0.82,2.1947,1.8223,0.0227,0.8726,435,2026-09-24 03:51:01,1790214661276,Down,0.0,-1.8223,-100.0,lost,polymarket
197,2026-09-24 03:42:55,1790214175829,diparb_leg1,eth,1790213400,Up,0.05,20.0,1.0665,0.0665,,125,2026-09-24 03:51:01,1790214661276,Down,0.0,-1.0665,-100.0,lost,polymarket
198,2026-09-24 03:46:45,1790214405828,fair,btc,1790214300,Up,0.42,4.1669,1.8212,0.0711,0.4822,795,2026-09-24 04:06:01,1790215561133,Down,0.0,-1.8212,-100.0,lost,polymarket
200,2026-09-24 03:58:10,1790215090909,diparb_leg1,btc,1790214300,Up,0.33,20.0,6.909540000000001,0.30954,,110,2026-09-24 04:06:01,1790215561133,Down,0.0,-6.9095,-100.0,lost,polymarket
199,2026-09-24 03:46:45,1790214405831,fair,eth,1790214300,Up,0.46,3.8074,1.8176,0.0662,0.5188,795,2026-09-24 04:06:01,1790215561350,Down,0.0,-1.8176,-100.0,lost,polymarket
201,2026-09-24 04:08:00,1790215680936,fair,btc,1790215200,Down,0.91,1.5929,1.4586,0.0091,0.9771,420,2026-09-24 04:21:01,1790216461199,Down,1.5929,0.1343,9.21,won,polymarket
202,2026-09-24 04:13:31,1790216011055,fair,eth,1790215200,Up,0.066,20.7379,1.4582,0.0895,0.1372,90,2026-09-24 04:21:01,1790216461387,Down,0.0,-1.4582,-100.0,lost,polymarket
204,2026-09-24 04:16:00,1790216160962,fair,eth,1790216100,Down,0.2,6.8649,1.4499,0.0769,0.2552,840,2026-09-24 04:35:01,1790217301449,Up,0.0,-1.4499,-100.0,lost,polymarket
203,2026-09-24 04:16:00,1790216160960,fair,btc,1790216100,Down,0.2,6.8831,1.4537,0.0771,0.2539,840,2026-09-24 04:36:01,1790217361245,Up,0.0,-1.4537,-100.0,lost,polymarket
206,2026-09-24 04:32:46,1790217166036,fair,eth,1790217000,Down,0.39,3.398,1.3818,0.0566,0.4588,735,2026-09-24 04:48:01,1790218081465,Up,0.0,-1.3818,-100.0,lost,polymarket
